Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Mohamed Salah,1992-06-14,23.0,1.0,1717.0,13.0,35.0,13.0,2761.0,1.0,0.0,1079.0,17.0,12.0,17.0,12.0,81.0,4.0
Son Heung-Min,1992-07-07,23.0,6.0,1684.0,7.0,35.0,6.0,3019.0,2.0,0.0,1015.0,17.0,17.0,15.0,14.0,46.0,8.0
Cristiano Ronaldo,1985-02-04,18.0,0.0,1237.0,3.0,30.0,6.0,2458.0,8.0,0.0,879.0,13.0,33.0,8.0,16.0,30.0,29.0
Harry Kane,1993-07-27,17.0,8.0,1548.0,9.0,37.0,13.0,3232.0,5.0,0.0,874.0,18.0,16.0,15.0,42.0,61.0,39.0
Sadio Mané,1992-04-09,16.0,1.0,1653.0,2.0,34.0,13.0,2824.0,5.0,0.0,1036.0,13.0,19.0,33.0,50.0,59.0,11.0
Kevin De Bruyne,1991-06-27,15.0,2.0,1907.0,8.0,30.0,8.0,2205.0,2.0,0.0,1358.0,0.0,4.0,32.0,21.0,20.0,16.0
Diogo Jota,1996-12-03,15.0,2.0,1199.0,4.0,35.0,4.0,2372.0,3.0,0.0,744.0,14.0,5.0,39.0,41.0,33.0,6.0
Jamie Vardy,1987-01-10,15.0,0.0,438.0,2.0,25.0,3.0,1805.0,2.0,0.0,251.0,8.0,19.0,6.0,13.0,8.0,17.0
Wilfried Zaha,1992-11-09,14.0,0.0,1699.0,1.0,33.0,10.0,2761.0,4.0,1.0,909.0,4.0,24.0,40.0,37.0,110.0,5.0
Raheem Sterling,1994-12-07,13.0,0.0,1309.0,5.0,30.0,11.0,2127.0,1.0,0.0,820.0,13.0,10.0,23.0,19.0,54.0,2.0
Jarrod Bowen,1996-12-19,12.0,2.0,1373.0,10.0,36.0,5.0,2987.0,6.0,0.0,714.0,13.0,14.0,36.0,25.0,51.0,8.0
James Maddison,1996-11-22,12.0,3.0,1468.0,8.0,35.0,2.0,2466.0,3.0,0.0,955.0,2.0,4.0,40.0,22.0,32.0,7.0
Ivan Toney,1996-03-15,12.0,2.0,1349.0,5.0,33.0,8.0,2908.0,8.0,0.0,733.0,6.0,25.0,33.0,50.0,44.0,42.0
Raphinha,1996-12-13,11.0,0.0,1948.0,3.0,35.0,4.0,2922.0,7.0,0.0,1074.0,6.0,14.0,51.0,40.0,35.0,25.0
Riyad Mahrez,1991-02-20,11.0,1.0,1207.0,5.0,28.0,4.0,1491.0,0.0,0.0,826.0,4.0,3.0,11.0,10.0,21.0,4.0
Mason Mount,1999-01-09,11.0,1.0,1654.0,10.0,32.0,6.0,2364.0,4.0,0.0,1115.0,4.0,5.0,41.0,30.0,34.0,11.0
Teemu Pukki,1990-03-28,11.0,1.0,911.0,3.0,37.0,2.0,3260.0,4.0,0.0,524.0,10.0,12.0,23.0,31.0,42.0,2.0
Bukayo Saka,2001-09-04,11.0,2.0,1781.0,7.0,38.0,5.0,2991.0,6.0,0.0,1062.0,5.0,17.0,40.0,39.0,47.0,21.0
Ollie Watkins,1995-12-29,11.0,3.0,1178.0,2.0,35.0,9.0,2955.0,7.0,0.0,674.0,10.0,16.0,17.0,33.0,53.0,25.0
Michail Antonio,1990-03-27,10.0,1.0,1268.0,8.0,36.0,4.0,2975.0,6.0,1.0,615.0,10.0,13.0,23.0,50.0,72.0,14.0
Bruno Fernandes,1994-09-07,10.0,0.0,2565.0,6.0,36.0,5.0,3118.0,10.0,0.0,1901.0,7.0,3.0,54.0,33.0,40.0,41.0
Richarlison,1997-05-09,10.0,4.0,1153.0,5.0,30.0,4.0,2526.0,9.0,0.0,524.0,6.0,21.0,40.0,36.0,54.0,33.0
Emmanuel Dennis,1997-11-14,10.0,2.0,1265.0,6.0,33.0,1.0,2589.0,7.0,1.0,575.0,5.0,12.0,51.0,59.0,63.0,12.0
Emile Smith Rowe,2000-07-27,10.0,1.0,1093.0,2.0,33.0,3.0,1920.0,1.0,0.0,767.0,5.0,2.0,14.0,5.0,25.0,10.0
James Ward-Prowse,1994-10-31,10.0,15.0,2509.0,5.0,36.0,6.0,3217.0,3.0,1.0,1827.0,0.0,0.0,41.0,22.0,25.0,39.0
Maxwel Cornet,1996-09-26,9.0,4.0,725.0,1.0,26.0,1.0,1776.0,2.0,0.0,377.0,5.0,26.0,16.0,20.0,33.0,13.0
Phil Foden,2000-05-27,9.0,0.0,1398.0,5.0,28.0,7.0,2133.0,1.0,0.0,960.0,8.0,14.0,16.0,15.0,34.0,3.0
Saïd Benrahma,1995-08-09,8.0,1.0,1205.0,6.0,32.0,0.0,2184.0,0.0,0.0,762.0,4.0,9.0,28.0,9.0,30.0,7.0
