,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
stat_name,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_freekick_cross,accurate_fwd_zone_pass,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_high_left,att_cmiss_high_right,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_own_goal,att_ibox_post,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_centre,att_lg_left,att_lg_right,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_own_goal,att_obox_post,att_obox_target,att_obp_goal,att_obx_centre,att_obx_left,att_obx_right,att_obxd_left,att_obxd_right,att_one_on_one,att_openplay,att_pen_goal,att_pen_miss,att_pen_post,att_pen_target,att_post_high,att_post_left,att_post_right,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,attendance_average,attendance_count,attendance_highest,attendance_lowest,attendance_total,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,clearance_off_line,contentious_decision,corner_taken,crosses_18yard,crosses_18yardplus,defender_goals,dispossessed,diving_save,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,first_half_goals,fk_foul_lost,fk_foul_won,forward_goals,foul_throw_in,fouled_final_third,freekick_cross,fwd_pass,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,goal_fastbreak,goal_kicks,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,good_high_claim,hand_ball,head_clearance,hit_woodwork,interception,interception_won,interceptions_in_box,keeper_throws,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,midfielder_goals,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goal_accrued,own_goals,passes_left,passes_right,pen_area_entries,pen_goals_conceded,penalty_conceded,penalty_faced,penalty_save,penalty_won,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,possession_percentage,post_scoring_att,pts_dropped_winning_pos,pts_gained_losing_pos,punches,put_through,rightside_pass,saved_ibox,saved_obox,saves,second_yellow,shield_ball_oop,shot_fastbreak,shot_off_target,six_yard_block,subs_goals,subs_made,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_high_claim,total_keeper_sweeper,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_red_card,total_scoring_att,total_tackle,total_through_ball,total_throws,total_yel_card,touches,touches_in_opp_box,unsuccessful_touch,wins,won_contest,won_corners,won_tackle
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,7337.0,583.0,49.0,149.0,103.0,24.0,6.0,8066.0,132.0,21.0,174.0,90.0,190.0,790.0,15254.0,20.0,26.0,598.0,577.0,470.0,362.0,34.0,192.0,55.0,58.0,9.0,3.0,1.0,13.0,29.0,93.0,18.0,1.0,6.0,1.0,6.0,21.0,4.0,8.0,2.0,10.0,23.0,17.0,9.0,36.0,1.0,14.0,69.0,104.0,52.0,128.0,1.0,10.0,81.0,28.0,58.0,260.0,3.0,,,40.0,28.0,23.0,52.0,65.0,67.0,10.0,79.0,,4.0,57.0,1.0,213.0,,,1.0,2.0,3.0,443.0,5.0,,,3.0,7.0,2.0,6.0,25.0,67.0,258.0,23.0,16.0,9.0,6.0,57.0,24.0,32.0,194.0,264.0,162.0,372.0,217.0,59776.0,19.0,60223.0,58729.0,1135743.0,2876.0,2146.0,39.0,42.0,28.0,39.0,561.0,171.0,256.0,13.0,,17.0,208.0,276.0,149.0,9.0,336.0,47.0,3.0,1778.0,1678.0,39.0,636.0,315.0,5.0,15.0,917.0,2263.0,34.0,365.0,357.0,16.0,6.0,87.0,27.0,5836.0,42.0,7.0,29.0,31.0,12.0,6.0,251.0,61.0,48.0,42.0,6.0,39.0,29.0,18.0,315.0,18.0,296.0,296.0,30.0,175.0,5.0,4776.0,2204.0,1256.0,13.0,176.0,31.0,158.0,279.0,198.0,17505.0,123.0,44.0,1.0,1.0,2264.0,2610.0,1044.0,5.0,7.0,6.0,,8.0,4882.0,4882.0,187.0,851.0,823.0,2012.6000000000006,14.0,11.0,4.0,16.0,571.0,4802.0,57.0,43.0,100.0,3.0,15.0,18.0,220.0,24.0,,110.0,444.0,4208.0,14688.0,262.0,437.0,8171.0,1239.0,636.0,590.0,184.0,633.0,452.0,23.0,5682.0,100.0,10752.0,33.0,22.0,554.0,206.0,1865.0,66.0,18290.0,36.0,4.0,589.0,540.0,77.0,679.0,60.0,25007.0,1038.0,557.0,22.0,319.0,209.0,311.0
Aston Villa,6193.0,682.0,47.0,146.0,100.0,59.0,15.0,5821.0,232.0,12.0,170.0,100.0,149.0,789.0,11868.0,12.0,29.0,565.0,565.0,544.0,266.0,48.0,156.0,47.0,44.0,15.0,4.0,3.0,18.0,27.0,72.0,12.0,,11.0,1.0,5.0,20.0,5.0,6.0,8.0,7.0,12.0,14.0,7.0,42.0,1.0,20.0,79.0,78.0,46.0,94.0,2.0,2.0,74.0,15.0,35.0,136.0,1.0,,,42.0,13.0,16.0,51.0,48.0,53.0,7.0,75.0,,1.0,38.0,,166.0,1.0,,4.0,2.0,6.0,322.0,3.0,,,,,1.0,1.0,29.0,57.0,246.0,42.0,24.0,11.0,4.0,36.0,27.0,16.0,252.0,306.0,173.0,291.0,173.0,41681.0,19.0,42045.0,40290.0,791930.0,2130.0,2132.0,43.0,31.0,23.0,67.0,591.0,131.0,349.0,11.0,9.0,6.0,196.0,276.0,171.0,10.0,344.0,55.0,6.0,1900.0,2005.0,67.0,629.0,296.0,3.0,10.0,960.0,1965.0,22.0,401.0,501.0,22.0,2.0,97.0,59.0,5337.0,42.0,5.0,34.0,31.0,11.0,4.0,303.0,52.0,54.0,44.0,11.0,36.0,38.0,9.0,296.0,7.0,340.0,340.0,41.0,176.0,1.0,3723.0,2177.0,1141.0,19.0,222.0,16.0,124.0,232.0,162.0,13925.0,140.0,41.0,2.0,2.0,2336.0,1535.0,1037.0,4.0,7.0,6.0,1.0,3.0,4985.0,4985.0,133.0,883.0,834.0,1764.7000000000003,3.0,19.0,7.0,4.0,591.0,3696.0,68.0,36.0,98.0,1.0,18.0,12.0,171.0,15.0,,113.0,481.0,2914.0,11130.0,313.0,357.0,6999.0,1450.0,629.0,587.0,165.0,670.0,506.0,16.0,4337.0,170.0,8557.0,42.0,13.0,511.0,169.0,1877.0,52.0,14886.0,33.0,3.0,464.0,634.0,71.0,716.0,79.0,22018.0,870.0,595.0,13.0,333.0,196.0,382.0
Brentford,6000.0,681.0,48.0,156.0,111.0,79.0,17.0,4918.0,188.0,22.0,184.0,168.0,128.0,933.0,10762.0,5.0,27.0,574.0,733.0,722.0,232.0,48.0,172.0,36.0,47.0,12.0,3.0,1.0,16.0,16.0,88.0,14.0,,4.0,1.0,1.0,11.0,5.0,1.0,3.0,6.0,17.0,16.0,11.0,38.0,2.0,23.0,92.0,84.0,45.0,100.0,2.0,7.0,84.0,16.0,33.0,139.0,3.0,,2.0,43.0,15.0,14.0,32.0,48.0,42.0,3.0,52.0,,2.0,26.0,,118.0,1.0,,1.0,1.0,3.0,269.0,6.0,,,,5.0,1.0,3.0,21.0,54.0,210.0,34.0,20.0,5.0,8.0,41.0,29.0,14.0,213.0,307.0,198.0,317.0,125.0,16912.0,19.0,17094.0,16479.0,321336.0,2198.0,2406.0,50.0,37.0,29.0,65.0,603.0,126.0,325.0,9.0,4.0,10.0,159.0,256.0,199.0,7.0,291.0,57.0,7.0,1913.0,1949.0,65.0,809.0,413.0,2.0,6.0,989.0,2063.0,16.0,371.0,363.0,20.0,2.0,94.0,45.0,5955.0,32.0,4.0,26.0,22.0,10.0,1.0,300.0,48.0,56.0,44.0,12.0,25.0,36.0,12.0,413.0,12.0,393.0,393.0,47.0,184.0,2.0,3196.0,2456.0,1130.0,18.0,232.0,15.0,109.0,202.0,155.0,13709.0,113.0,33.0,2.0,2.0,2029.0,1603.0,1112.0,5.0,5.0,5.0,,6.0,5699.0,5699.0,177.0,962.0,922.0,1693.6000000000004,9.0,8.0,15.0,12.0,603.0,3255.0,78.0,51.0,129.0,2.0,22.0,14.0,161.0,15.0,,114.0,489.0,2430.0,10140.0,270.0,311.0,7056.0,1564.0,809.0,476.0,143.0,640.0,500.0,15.0,4126.0,279.0,8188.0,37.0,22.0,802.0,147.0,2335.0,66.0,14604.0,13.0,3.0,442.0,607.0,50.0,778.0,61.0,21619.0,854.0,563.0,13.0,262.0,159.0,342.0
Brighton & Hove Albion,7992.0,635.0,69.0,186.0,117.0,40.0,17.0,7579.0,131.0,6.0,186.0,96.0,158.0,957.0,15385.0,14.0,19.0,653.0,501.0,572.0,270.0,57.0,196.0,38.0,30.0,12.0,3.0,3.0,21.0,17.0,90.0,6.0,,3.0,,4.0,16.0,3.0,7.0,4.0,6.0,17.0,5.0,8.0,42.0,,20.0,85.0,72.0,34.0,116.0,1.0,6.0,72.0,6.0,30.0,119.0,1.0,,,47.0,17.0,23.0,61.0,50.0,68.0,8.0,74.0,,1.0,40.0,2.0,186.0,1.0,2.0,1.0,1.0,5.0,352.0,4.0,1.0,1.0,1.0,4.0,3.0,,26.0,62.0,280.0,24.0,13.0,12.0,2.0,46.0,20.0,25.0,223.0,291.0,185.0,298.0,191.0,30943.0,19.0,31637.0,29485.0,587918.0,3069.0,2422.0,49.0,40.0,23.0,51.0,727.0,140.0,320.0,11.0,4.0,13.0,200.0,359.0,134.0,7.0,349.0,42.0,15.0,1781.0,1910.0,51.0,684.0,358.0,1.0,12.0,946.0,2256.0,17.0,393.0,355.0,18.0,2.0,82.0,55.0,6188.0,30.0,5.0,25.0,23.0,7.0,2.0,241.0,42.0,44.0,33.0,11.0,28.0,52.0,20.0,358.0,12.0,358.0,358.0,48.0,188.0,3.0,4702.0,2428.0,1306.0,11.0,212.0,12.0,139.0,217.0,152.0,18103.0,150.0,37.0,2.0,1.0,2846.0,2491.0,1180.0,3.0,4.0,4.0,,7.0,5406.0,5406.0,219.0,932.0,1003.0,2072.9,7.0,6.0,14.0,12.0,727.0,4876.0,74.0,35.0,104.0,,13.0,6.0,197.0,13.0,,111.0,476.0,3942.0,14908.0,330.0,356.0,8853.0,1422.0,684.0,559.0,180.0,728.0,548.0,8.0,5654.0,137.0,10710.0,60.0,6.0,590.0,175.0,2182.0,53.0,18835.0,25.0,2.0,489.0,668.0,58.0,784.0,73.0,26153.0,933.0,598.0,12.0,317.0,202.0,403.0
Burnley,3759.0,685.0,44.0,161.0,119.0,83.0,21.0,4924.0,152.0,29.0,150.0,245.0,104.0,1077.0,8522.0,2.0,13.0,620.0,738.0,833.0,210.0,50.0,151.0,32.0,31.0,13.0,5.0,2.0,19.0,20.0,74.0,11.0,1.0,7.0,,1.0,14.0,2.0,6.0,3.0,7.0,11.0,6.0,11.0,56.0,4.0,22.0,100.0,54.0,30.0,116.0,2.0,5.0,61.0,10.0,32.0,147.0,4.0,1.0,,43.0,14.0,11.0,42.0,62.0,49.0,4.0,54.0,,4.0,32.0,1.0,136.0,2.0,,1.0,1.0,4.0,260.0,1.0,1.0,,,6.0,2.0,1.0,13.0,39.0,159.0,52.0,14.0,8.0,5.0,39.0,18.0,13.0,223.0,396.0,209.0,264.0,143.0,19353.0,19.0,21944.0,16910.0,367711.0,1999.0,2360.0,43.0,37.0,18.0,72.0,632.0,103.0,284.0,9.0,9.0,11.0,183.0,303.0,220.0,8.0,290.0,58.0,14.0,1908.0,2004.0,72.0,832.0,417.0,4.0,14.0,936.0,2262.0,17.0,394.0,330.0,13.0,1.0,77.0,57.0,5490.0,26.0,5.0,23.0,18.0,9.0,1.0,304.0,34.0,53.0,47.0,6.0,20.0,44.0,13.0,417.0,15.0,411.0,411.0,54.0,154.0,3.0,2414.0,2779.0,1290.0,17.0,265.0,9.0,126.0,160.0,125.0,11496.0,211.0,36.0,2.0,2.0,1988.0,1936.0,1149.0,5.0,5.0,5.0,,4.0,5740.0,5740.0,176.0,927.0,924.0,1509.7000000000003,9.0,18.0,11.0,17.0,632.0,2416.0,92.0,44.0,129.0,,15.0,11.0,179.0,7.0,,96.0,479.0,2393.0,8066.0,298.0,287.0,4586.0,1626.0,832.0,480.0,169.0,747.0,580.0,12.0,4250.0,299.0,8480.0,48.0,29.0,914.0,140.0,2619.0,101.0,12319.0,5.0,2.0,407.0,589.0,32.0,783.0,68.0,19501.0,695.0,541.0,7.0,258.0,184.0,323.0
Chelsea,9512.0,785.0,64.0,156.0,93.0,48.0,8.0,10844.0,170.0,23.0,182.0,109.0,175.0,976.0,20200.0,7.0,35.0,653.0,490.0,542.0,348.0,39.0,211.0,57.0,62.0,20.0,5.0,4.0,20.0,21.0,94.0,19.0,1.0,10.0,,5.0,26.0,7.0,11.0,10.0,12.0,21.0,20.0,12.0,42.0,1.0,21.0,86.0,105.0,63.0,113.0,1.0,11.0,93.0,26.0,45.0,203.0,3.0,1.0,,47.0,16.0,20.0,62.0,50.0,72.0,14.0,81.0,,1.0,43.0,,198.0,1.0,1.0,4.0,1.0,7.0,441.0,8.0,,,2.0,3.0,3.0,5.0,37.0,70.0,298.0,23.0,17.0,9.0,9.0,44.0,27.0,37.0,240.0,214.0,128.0,383.0,209.0,37812.0,19.0,40113.0,31478.0,718419.0,3698.0,2293.0,73.0,53.0,42.0,37.0,675.0,176.0,310.0,16.0,5.0,12.0,241.0,327.0,161.0,9.0,383.0,43.0,11.0,1827.0,1914.0,37.0,616.0,298.0,6.0,9.0,978.0,2265.0,35.0,409.0,392.0,37.0,,111.0,44.0,7103.0,52.0,7.0,40.0,43.0,9.0,,202.0,76.0,33.0,28.0,5.0,56.0,29.0,20.0,298.0,17.0,347.0,347.0,24.0,183.0,2.0,6230.0,2375.0,1682.0,6.0,152.0,25.0,144.0,295.0,211.0,22476.0,96.0,43.0,1.0,1.0,2742.0,3301.0,1298.0,6.0,6.0,6.0,,9.0,4974.0,4974.0,181.0,920.0,983.0,2363.7999999999997,12.0,20.0,9.0,14.0,675.0,6148.0,59.0,28.0,84.0,,20.0,19.0,205.0,12.0,,111.0,514.0,5360.0,19574.0,312.0,440.0,10430.0,1403.0,616.0,624.0,214.0,745.0,532.0,19.0,6721.0,132.0,13494.0,31.0,23.0,473.0,196.0,1796.0,69.0,23179.0,21.0,1.0,592.0,621.0,77.0,713.0,63.0,30353.0,1127.0,591.0,21.0,364.0,242.0,348.0
Crystal Palace,8203.0,700.0,43.0,151.0,109.0,53.0,23.0,5851.0,202.0,21.0,219.0,164.0,131.0,1000.0,13903.0,7.0,19.0,710.0,624.0,613.0,240.0,34.0,163.0,58.0,31.0,11.0,2.0,1.0,16.0,22.0,66.0,15.0,1.0,5.0,,3.0,13.0,3.0,1.0,5.0,14.0,14.0,18.0,6.0,38.0,3.0,12.0,74.0,80.0,45.0,93.0,2.0,8.0,76.0,17.0,37.0,131.0,,,,35.0,16.0,11.0,44.0,40.0,33.0,5.0,52.0,,,21.0,,111.0,,,,,2.0,291.0,6.0,1.0,,1.0,3.0,3.0,2.0,27.0,48.0,207.0,34.0,12.0,7.0,7.0,39.0,19.0,19.0,242.0,269.0,176.0,301.0,111.0,24282.0,19.0,25434.0,22445.0,461349.0,2829.0,2386.0,41.0,33.0,28.0,52.0,633.0,112.0,302.0,12.0,2.0,6.0,175.0,281.0,145.0,3.0,471.0,45.0,15.0,2088.0,2109.0,52.0,731.0,360.0,1.0,4.0,1026.0,1908.0,21.0,414.0,480.0,26.0,0.0,102.0,77.0,5974.0,31.0,3.0,22.0,27.0,5.0,2.0,272.0,50.0,46.0,37.0,9.0,36.0,27.0,22.0,360.0,11.0,333.0,333.0,37.0,222.0,4.0,4150.0,2555.0,1383.0,12.0,184.0,15.0,114.0,191.0,147.0,16434.0,135.0,58.0,,2.0,2366.0,2126.0,964.0,3.0,5.0,4.0,1.0,8.0,5603.0,5603.0,193.0,1022.0,888.0,1944.4000000000005,8.0,17.0,10.0,21.0,633.0,4356.0,62.0,41.0,101.0,1.0,20.0,15.0,153.0,17.0,,108.0,489.0,2792.0,13222.0,317.0,306.0,9313.0,1530.0,731.0,688.0,141.0,643.0,503.0,17.0,4178.0,210.0,8639.0,29.0,21.0,727.0,147.0,2292.0,63.0,17309.0,16.0,1.0,412.0,636.0,40.0,844.0,67.0,25012.0,796.0,671.0,11.0,383.0,176.0,373.0
Everton,4426.0,594.0,41.0,164.0,123.0,59.0,20.0,5231.0,143.0,18.0,121.0,141.0,108.0,859.0,9493.0,4.0,12.0,588.0,729.0,640.0,250.0,44.0,160.0,49.0,36.0,8.0,3.0,5.0,15.0,17.0,56.0,17.0,,5.0,1.0,1.0,18.0,3.0,3.0,3.0,9.0,10.0,16.0,8.0,46.0,1.0,18.0,79.0,78.0,38.0,102.0,5.0,4.0,59.0,14.0,30.0,106.0,2.0,,,30.0,16.0,19.0,51.0,37.0,69.0,7.0,46.0,,2.0,37.0,1.0,156.0,,,1.0,1.0,2.0,325.0,6.0,,1.0,,4.0,2.0,,22.0,49.0,250.0,29.0,8.0,6.0,7.0,45.0,18.0,17.0,206.0,328.0,199.0,279.0,158.0,38886.0,19.0,39641.0,38203.0,738831.0,1960.0,2318.0,33.0,24.0,25.0,65.0,695.0,147.0,399.0,8.0,2.0,14.0,161.0,296.0,147.0,8.0,325.0,61.0,6.0,2091.0,2064.0,65.0,775.0,379.0,10.0,5.0,986.0,2083.0,16.0,368.0,388.0,16.0,2.0,88.0,67.0,5338.0,29.0,4.0,20.0,21.0,10.0,3.0,298.0,43.0,66.0,60.0,6.0,26.0,22.0,17.0,379.0,8.0,365.0,365.0,32.0,124.0,4.0,2803.0,2449.0,1144.0,21.0,219.0,16.0,120.0,203.0,138.0,12066.0,140.0,43.0,1.0,5.0,2174.0,1956.0,941.0,2.0,3.0,2.0,,8.0,5497.0,5497.0,165.0,983.0,875.0,1508.8999999999999,5.0,14.0,15.0,25.0,702.0,2843.0,78.0,51.0,128.0,2.0,22.0,17.0,152.0,10.0,1.0,97.0,497.0,2734.0,8981.0,356.0,324.0,5331.0,1362.0,775.0,634.0,143.0,653.0,510.0,20.0,4391.0,212.0,8266.0,27.0,18.0,710.0,126.0,2203.0,53.0,12944.0,15.0,6.0,437.0,705.0,30.0,783.0,78.0,20360.0,772.0,640.0,11.0,337.0,161.0,402.0
Leeds United,7641.0,724.0,38.0,121.0,86.0,43.0,14.0,5345.0,214.0,22.0,270.0,100.0,120.0,873.0,12865.0,2.0,20.0,732.0,628.0,477.0,276.0,45.0,155.0,40.0,42.0,10.0,2.0,2.0,18.0,16.0,88.0,16.0,1.0,1.0,3.0,4.0,13.0,4.0,3.0,5.0,6.0,16.0,13.0,4.0,44.0,,12.0,64.0,71.0,33.0,115.0,1.0,5.0,63.0,27.0,52.0,233.0,4.0,,1.0,46.0,18.0,16.0,52.0,51.0,66.0,9.0,66.0,,9.0,49.0,,187.0,,4.0,1.0,2.0,3.0,340.0,5.0,,,,7.0,4.0,3.0,13.0,50.0,184.0,37.0,14.0,8.0,12.0,42.0,22.0,21.0,307.0,372.0,210.0,287.0,198.0,36308.0,19.0,36715.0,35558.0,689855.0,2306.0,2575.0,44.0,37.0,26.0,37.0,698.0,137.0,478.0,5.0,7.0,10.0,170.0,310.0,148.0,5.0,298.0,65.0,11.0,2183.0,1960.0,37.0,604.0,268.0,6.0,11.0,1076.0,1895.0,17.0,469.0,365.0,12.0,2.0,73.0,49.0,6027.0,26.0,,16.0,21.0,5.0,,292.0,42.0,79.0,72.0,8.0,27.0,22.0,5.0,268.0,18.0,395.0,395.0,32.0,276.0,1.0,4034.0,2336.0,1258.0,18.0,182.0,20.0,138.0,209.0,154.0,15687.0,143.0,50.0,,1.0,2011.0,2207.0,1026.0,5.0,6.0,5.0,,5.0,5641.0,5641.0,174.0,1049.0,1037.0,1995.5999999999995,14.0,19.0,9.0,19.0,698.0,4136.0,100.0,53.0,147.0,,17.0,16.0,194.0,14.0,,106.0,509.0,2700.0,12206.0,330.0,348.0,8818.0,1671.0,604.0,655.0,144.0,648.0,507.0,16.0,4232.0,113.0,8333.0,24.0,22.0,554.0,146.0,2120.0,63.0,16503.0,10.0,3.0,485.0,786.0,66.0,798.0,101.0,24043.0,836.0,676.0,9.0,339.0,171.0,436.0
